Age,M,F
0-4,59752001,55343573
5-9,51917905,48727671
10-14,57123921,54012964
15-19,67756359,64472035
20-24,64018344,61217919
25-29,40484058,38908321
30-34,47132581,45717274
35-39,37802816,36408522
40-44,27272305,25198832
45-49,24399032,21985702
50-54,22935678,21311077
55-59,18860324,18142242
60-64,14888424,15275715
65-69,10707248,12088413
70-74,7165728,9087090
75-79,3767065,5733177
80-84,1580571,3163987
85-89,416796,1131083
90-94,55580,234441
95-99,2286,17911
100+,5,459
