Age,M,F
0-4,52586234,49553551
5-9,67117322,63454285
10-14,65686894,62399182
15-19,49830447,47557523
20-24,47192417,45249443
25-29,43624184,42240714
30-34,31449156,29168789
35-39,25848009,23298550
40-44,24938347,22355386
45-49,22357540,20589363
50-54,18607838,17765256
55-59,15130187,15286862
60-64,11704859,12721123
65-69,8347313,9844202
70-74,5142384,7211312
75-79,2647985,4425557
80-84,966764,1986172
85-89,230691,626907
90-94,30081,106766
95-99,1241,7091
100+,2,130
