Age,M,F
0-4,51386535,48308659
5-9,61004619,57606535
10-14,67518385,64086902
15-19,61330147,58488484
20-24,41818606,40052846
25-29,46883067,45365847
30-34,35852287,33985940
35-39,26800996,24532242
40-44,25031264,22266700
45-49,23447424,21582152
50-54,19553328,18457844
55-59,16033194,15986177
60-64,12311724,13223049
65-69,9023261,10500355
70-74,5514174,7497827
75-79,2921236,4857431
80-84,1090458,2230901
85-89,266557,735127
90-94,33334,125304
95-99,1450,8485
100+,4,204
