Age,M,F
0-4,66891018,60681279
5-9,57140333,53134296
10-14,50262570,47314788
15-19,60013114,56926052
20-24,66338743,63335594
25-29,60070176,57645744
30-34,40793388,39370038
35-39,45644535,44555146
40-44,34706843,33225519
45-49,25616681,23777044
50-54,23383400,21283391
55-59,21177700,20206298
60-64,16738167,16717034
65-69,12449054,13575628
70-74,8161453,10072426
75-79,4709731,6754064
80-84,1964662,3639548
85-89,559226,1497763
90-94,80455,339275
95-99,3447,32022
100+,5,869
