Age,M,F
0-4,43759117,37271807
5-9,44083080,37828580
10-14,48626199,42590360
15-19,63168789,57109665
20-24,57834290,53758520
25-29,50360090,47572659
30-34,55161216,52651120
35-39,65090844,62723183
40-44,61030329,59293457
45-49,38103575,37412032
50-54,43616871,43675537
55-59,33904850,34230760
60-64,23148710,22924352
65-69,18617560,18777475
70-74,14861428,16321019
75-79,9491200,11628638
80-84,5019414,7276726
85-89,1809672,3462565
90-94,361715,1076274
95-99,23427,147456
100+,97,8915
