Age,M,F
0-4,61593830,55232089
5-9,61100177,56317523
10-14,53045722,49780727
15-19,53440539,50595367
20-24,66978567,63847032
25-29,63498818,60902988
30-34,42959316,41426693
35-39,46715817,45409857
40-44,39595258,38719061
45-49,28025224,26229238
50-54,23540662,21662489
55-59,21943757,20682176
60-64,17836936,17664472
65-69,13317092,14264667
70-74,8870424,10692936
75-79,5141856,7291706
80-84,2229150,3921316
85-89,636662,1637969
90-94,99246,414200
95-99,4581,41093
100+,4,1327
