Age,M,F
0-4,22219265,20379395
5-9,27259774,24522034
10-14,45300438,39673308
15-19,48253636,41480891
20-24,44293787,37683877
25-29,42492398,36341151
30-34,45100092,39285932
35-39,55750965,50105121
40-44,60656821,56320783
45-49,50912453,48570712
50-54,47097626,45888356
55-59,58585411,58616993
60-64,54405996,56330667
65-69,38045910,41180423
70-74,31002866,36223228
75-79,23096130,29897063
80-84,11366823,15904504
85-89,4685682,7834446
90-94,1406430,3185491
95-99,179313,678829
100+,6269,61455
