Age,M,F
0-4,30646091,27396363
5-9,47316512,41306896
10-14,48098978,41236461
15-19,43987024,37495964
20-24,43049549,36913977
25-29,46384156,40522375
30-34,59064348,53306394
35-39,58654069,54566572
40-44,50550640,48059175
45-49,50268941,48570778
50-54,61804111,60940792
55-59,56769871,57304248
60-64,36622914,38089367
65-69,36332985,40019253
70-74,26900598,31787933
75-79,15178970,18523732
80-84,8477786,11679412
85-89,3949940,6688861
90-94,1047561,2454771
95-99,115856,461379
100+,2383,36937
