Age,M,F
0-4,43686817,37330939
5-9,46213122,40062193
10-14,57380156,51195344
15-19,62810172,57753578
20-24,53282363,50053602
25-29,50133342,47590211
30-34,64099609,61412499
35-39,62403290,60269671
40-44,46953725,45663251
45-49,43850504,43161944
50-54,39740059,39920368
55-59,27618119,26905486
60-64,21200654,20662519
65-69,18124346,18374520
70-74,13551636,14989848
75-79,8495884,10608809
80-84,4327160,6541561
85-89,1461314,2978441
90-94,278098,868581
95-99,16671,122681
100+,58,7159
