Age,M,F
0-4,64591463,58262780
5-9,58967664,54607264
10-14,51553409,48458872
15-19,56717656,53753038
20-24,67146821,64059271
25-29,63291808,60721897
30-34,39952051,38543383
35-39,46486335,45285134
40-44,37140145,35978274
45-49,26601670,24786131
50-54,23491632,21462233
55-59,21669327,20571414
60-64,17253669,17161711
65-69,12836802,13870743
70-74,8497312,10356373
75-79,4943798,7053532
80-84,2080179,3753199
85-89,595410,1566098
90-94,89401,375164
95-99,3913,36189
100+,7,1054
