Age,M,F
0-4,47865102,41681854
5-9,60926693,54632217
10-14,60741808,56057805
15-19,52744033,49584460
20-24,53002858,50274079
25-29,66293767,63379412
30-34,62775165,60426514
35-39,42410708,41057610
40-44,45980482,44954944
45-49,38751935,38233956
50-54,27156335,25742530
55-59,22433826,21072641
60-64,20306680,19766939
65-69,15665002,16300191
70-74,10915843,12527283
75-79,6473506,8665022
80-84,3065025,5089891
85-89,939377,2109012
90-94,153083,598776
95-99,8903,78481
100+,20,3349
