Age,M,F
0-4,42852056,37683377
5-9,48610816,41904786
10-14,45873456,39130539
15-19,42896266,36640773
20-24,44678814,38661923
25-29,52469824,46659498
30-34,63686895,58490033
35-39,53131552,50071839
40-44,47690530,45607561
45-49,59332571,57635144
50-54,60113908,59488132
55-59,48492378,48935688
60-64,36659844,38373381
65-69,34340757,38096605
70-74,21804345,24741366
75-79,13153640,15873292
80-84,8010763,10895934
85-89,3613221,6127513
90-94,935439,2181962
95-99,102707,422299
100+,1823,32832
