Age,M,F
0-4,54153588,50757669
5-9,54253294,51157557
10-14,68112417,64578241
15-19,64812821,61782519
20-24,44014710,42142248
25-29,47958171,46227231
30-34,40853626,39541679
35-39,29254823,27010795
40-44,25103527,22587423
45-49,24181536,22001087
50-54,20697934,19397565
55-59,16953163,16665825
60-64,13079397,13826652
65-69,9564137,11101584
70-74,5972279,7842070
75-79,3155749,5152354
80-84,1255930,2560683
85-89,308092,839685
90-94,38890,154989
95-99,1786,10943
100+,5,273
