Age,M,F
0-4,21981497,20243183
5-9,24868197,22493201
10-14,42650692,37504310
15-19,48325774,41671044
20-24,45118851,38411310
25-29,42229064,36035930
30-34,44311832,38438013
35-39,51993247,46410510
40-44,62899191,58073468
45-49,52108065,49557528
50-54,46187960,44895010
55-59,56348018,56246038
60-64,55432495,57284863
65-69,42528888,45960491
70-74,29380541,34223677
75-79,24327903,31391631
80-84,12342486,17441069
85-89,4908861,8188544
90-94,1463660,3280993
95-99,193846,728370
100+,6971,66598
