Age,M,F
0-4,54263473,48052700
5-9,65753490,59974840
10-14,55158258,51528516
15-19,49899576,47121614
20-24,62692077,59645798
25-29,64710813,62011458
30-34,53663747,51703317
35-39,42864785,41557702
40-44,43621002,42898393
45-49,31742100,30295243
50-54,24190262,22581195
55-59,22048591,20540110
60-64,19008844,18750411
65-69,14140657,14928324
70-74,9759659,11528807
75-79,5562882,7753208
80-84,2578667,4372768
85-89,742155,1817702
90-94,118102,492578
95-99,5590,52542
100+,12,1948
