Age,M,F
0-4,46589511,40392884
5-9,57684483,51411522
10-14,63154243,57992670
15-19,53695585,50378722
20-24,50623945,47956627
25-29,64740489,61831930
30-34,63091725,60707524
35-39,47610773,46069899
40-44,44722858,43651041
45-49,40875380,40525993
50-54,28798776,27531465
55-59,22694758,21458510
60-64,20390547,19719869
65-69,16262691,16852053
70-74,11303665,12863506
75-79,6851079,9054072
80-84,3211555,5274624
85-89,1033319,2257380
90-94,169704,640066
95-99,10123,87140
100+,39,3899
