Age,M,F
0-4,48722237,42151630
5-9,46638458,39814261
10-14,43008399,36673311
15-19,44317090,38195520
20-24,49768970,43913923
25-29,64483787,58776425
30-34,55129922,51647172
35-39,48218355,45849590
40-44,57155370,55041319
45-49,62436128,60991806
50-54,55519028,55016274
55-59,36457030,36985345
60-64,38850085,40994845
65-69,27035215,29092074
70-74,17200272,18954318
75-79,12129440,14336797
80-84,7336068,10157929
85-89,2995538,5081663
90-94,752190,1816486
95-99,68330,316794
100+,854,22374
