Age,M,F
0-4,27342843,24614707
5-9,45398567,39756447
10-14,48445649,41644072
15-19,44868456,38253594
20-24,42803564,36615697
25-29,45182391,39287194
30-34,55935859,50164764
35-39,61039493,56495290
40-44,51487433,48837006
45-49,48029599,46313285
50-54,60406262,59460159
55-59,57124174,57625452
60-64,41231415,42810616
65-69,35337006,38857886
70-74,28412466,33775418
75-79,16122783,19906556
80-84,8653262,12001881
85-89,3987530,6766075
90-94,1092561,2586829
95-99,119555,484289
100+,2849,40333
