Age,M,F
0-4,52670794,49446614
5-9,57619491,54375459
10-14,68317001,64809954
15-19,64616052,61608765
20-24,40955250,39220623
25-29,47737358,46106151
30-34,38344684,36772130
35-39,27797492,25548378
40-44,25099527,22415789
45-49,23937298,21929144
50-54,20092633,18900765
55-59,16436550,16272159
60-64,12668159,13490981
65-69,9336787,10855397
70-74,5710541,7630645
75-79,3037496,5011020
80-84,1169669,2388782
85-89,286545,786928
90-94,35654,138095
95-99,1605,9558
100+,5,240
