Age,M,F
0-4,51082825,44953937
5-9,66099010,59956643
10-14,56786016,52874199
15-19,49936763,47093264
20-24,59478683,56534443
25-29,65603609,62825540
30-34,59343358,57153223
35-39,40233954,38987302
40-44,44893359,44081624
45-49,33926464,32761016
50-54,24771983,23294831
55-59,22218114,20648697
60-64,19529466,19249575
65-69,14621321,15344717
70-74,10117020,11834561
75-79,5857185,8053403
80-84,2747489,4625135
85-89,798140,1899297
90-94,128594,530284
95-99,6632,60761
100+,11,2351
