Age,M,F
0-4,43930569,37613431
5-9,47463422,41329004
10-14,60606427,54406677
15-19,60425556,55845903
20-24,52380806,49314290
25-29,52543306,49953338
30-34,65672280,62992435
35-39,62110969,60011559
40-44,41827084,40701237
45-49,45091886,44460685
50-54,37672025,37655820
55-59,26035922,25147876
60-64,20932176,20273058
65-69,18023153,18392309
70-74,13027463,14470850
75-79,8180864,10307827
80-84,4062385,6235859
85-89,1378894,2853452
90-94,248751,802149
95-99,14797,114213
100+,60,6548
