Age,M,F
0-4,45045563,38772421
5-9,50607969,44535165
10-14,65747248,59709621
15-19,56520357,52714586
20-24,49642883,46899005
25-29,59012966,56241631
30-34,65003895,62469922
35-39,58727778,56772986
40-44,39662101,38646773
45-49,44016321,43596755
50-54,32959050,32237556
55-59,23713733,22733762
60-64,20671977,19821982
65-69,17277280,17865869
70-74,12109074,13577572
75-79,7528470,9700527
80-84,3618326,5746424
85-89,1212684,2566130
90-94,205229,713782
95-99,12467,101897
100+,79,5234
