Age,M,F
0-4,45321027,38610115
5-9,43414292,37092926
10-14,45987399,39896343
15-19,57049103,50950975
20-24,62297773,57329333
25-29,52716654,49593237
30-34,49575616,47173160
35-39,63405461,60953616
40-44,61549536,59753848
45-49,46089187,45172022
50-54,42656889,42533289
55-59,38197428,39137727
60-64,25949516,26026256
65-69,19025035,19425164
70-74,15247922,16508364
75-79,10314678,12525949
80-84,5491569,7796556
85-89,2081327,3834377
90-94,419603,1200889
95-99,30838,177071
100+,145,10490
