Age,M,F
0-4,47626224,40728789
5-9,43543691,37086392
10-14,43901604,37699463
15-19,48393912,42428799
20-24,62761073,56796689
25-29,57359223,53394556
30-34,49906551,47245977
35-39,54633829,52304354
40-44,64288084,62258868
45-49,59963313,58714995
50-54,37113901,36896795
55-59,41972559,42857824
60-64,31938860,33226015
65-69,20916883,21664182
70-74,15794522,17014784
75-79,11404750,13756174
80-84,6199313,8639792
85-89,2470412,4330377
90-94,550744,1448546
95-99,43383,230537
100+,389,13723
