Age,M,F
0-4,45511227,39856961
5-9,48542339,41715377
10-14,45033670,38385277
15-19,43103831,36878158
20-24,45518928,39550843
25-29,56330928,50431964
30-34,61465060,56764466
35-39,51953072,49101153
40-44,48683969,46644482
45-49,61760922,60092359
50-54,59127826,58552213
55-59,43466224,43884281
60-64,38804205,40664617
65-69,32791477,36349760
70-74,20294772,22729751
75-79,12768531,15334164
80-84,7880003,10759222
85-89,3454636,5844959
90-94,888010,2082855
95-99,92996,393628
100+,1508,29726
