Age,M,F
0-4,48533268,42182672
5-9,47476739,40600880
10-14,43417449,37000251
15-19,43727096,37579088
20-24,48102803,42204826
25-29,62337073,56497238
30-34,56956026,53126508
35-39,49524264,47004453
40-44,54059664,51981353
45-49,63284991,61754810
50-54,58526686,58007581
55-59,35789176,36258147
60-64,39619523,41712039
65-69,29017855,31654415
70-74,18005964,19889548
75-79,12322018,14627855
80-84,7575493,10459904
85-89,3118957,5295293
90-94,791267,1889896
95-99,75610,340229
100+,1046,24764
