Age,M,F
0-4,43384744,36976046
5-9,44708893,38476584
10-14,50344609,44344633
15-19,65395664,59465990
20-24,56067137,52346368
25-29,49114452,46478749
30-34,58384059,55799105
35-39,64279468,62000209
40-44,57907266,56267525
45-49,38876955,38200830
50-54,42797200,42951049
55-59,31635843,31548578
60-64,22212813,21934987
65-69,18438178,18537642
70-74,14449239,15955963
75-79,9146189,11255047
80-84,4807670,7062165
85-89,1689013,3303125
90-94,333977,1007314
95-99,21226,139037
100+,91,8392
