Age,M,F
0-4,51408091,48388368
5-9,64355805,60807383
10-14,66644503,63287372
15-19,55491884,52940242
20-24,44552484,42683860
25-29,45577053,44166051
30-34,33584915,31482092
35-39,26238032,23831411
40-44,24924872,22221815
45-49,22918821,21105179
50-54,19027968,18056663
55-59,15646961,15706159
60-64,11959059,12943483
65-69,8693562,10151728
70-74,5336629,7381772
75-79,2792061,4660670
80-84,1020066,2090626
85-89,247875,681090
90-94,31844,115901
95-99,1329,7684
100+,4,164
