Age,M,F
0-4,49313091,43157329
5-9,63863856,57603132
10-14,58612387,54347682
15-19,51239241,48249032
20-24,56230040,53394557
25-29,66431927,63568186
30-34,62551077,60228432
35-39,39417881,38179832
40-44,45738646,44819105
45-49,36328242,35503805
50-54,25754175,24307075
55-59,22354952,20851879
60-64,20017569,19630282
65-69,15111133,15795044
70-74,10479110,12138914
75-79,6152962,8341678
80-84,2915315,4879566
85-89,860379,1988406
90-94,139855,563841
95-99,7716,69452
100+,14,2816
