Age,M,F
0-4,43450045,37071891
5-9,45349337,39159794
10-14,53451036,47380937
15-19,65041880,59475843
20-24,54454880,51016487
25-29,49073490,46513114
30-34,61530433,58879317
35-39,63377851,61177918
40-44,52349505,50883961
45-49,41410430,40715701
50-54,41569483,41786420
55-59,29566352,29131209
60-64,21631338,21222204
65-69,18232407,18378981
70-74,14011462,15488350
75-79,8804045,10903680
80-84,4592927,6839592
85-89,1567767,3133804
90-94,307032,937977
95-99,18992,131411
100+,71,7770
