Age,M,F
0-4,61897930,57063894
5-9,53405719,50046015
10-14,53807777,50832561
15-19,67568136,64248252
20-24,64212459,61388762
25-29,43509985,41803544
30-34,47351636,45835346
35-39,40281980,39161164
40-44,28711212,26650433
45-49,24420178,22169638
50-54,23191161,21401075
55-59,19454389,18642778
60-64,15388928,15672036
65-69,11103546,12429911
70-74,7383734,9337783
75-79,3976867,5934354
80-84,1659076,3277992
85-89,452833,1229187
90-94,60991,256880
95-99,2468,21001
100+,4,541
