Age,M,F
0-4,48681593,41836597
5-9,45150984,38466575
10-14,43265309,36991600
15-19,45797077,39770630
20-24,56737289,50728732
25-29,61901664,57057555
30-34,52347945,49353941
35-39,49178978,46927775
40-44,62700224,60563369
45-49,60537847,59230030
50-54,44994188,44614466
55-59,41089511,41767137
60-64,36037476,38061278
65-69,23510147,24667471
70-74,16239931,17700996
75-79,11775205,14012987
80-84,6794367,9400083
85-89,2735697,4696790
90-94,651756,1637323
95-99,53405,267591
100+,639,17803
