Age,M,F
0-4,22486399,20534373
5-9,30549771,27294851
10-14,47211355,41220204
15-19,47902502,41069897
20-24,43424518,36940784
25-29,42739419,36646075
30-34,46253181,40478978
35-39,58820836,53201208
40-44,58255784,54374111
45-49,49960168,47780759
50-54,49256240,48105672
55-59,59884710,60053412
60-64,53956629,55965464
65-69,33669053,36573597
70-74,31769535,37256036
75-79,21736625,28081033
80-84,10589721,14714756
85-89,4509197,7556338
90-94,1354440,3105564
95-99,163572,627783
100+,5609,56573
