Age,M,F
0-4,24942279,22577862
5-9,42739276,37580544
10-14,48511730,41830353
15-19,45686204,38974885
20-24,42526154,36299576
25-29,44377128,38427453
30-34,52145494,46450905
35-39,63281937,58246667
40-44,52676265,49820496
45-49,47064933,45295720
50-54,58045377,57034156
55-59,58103255,58561241
60-64,45994642,47741355
65-69,33383371,36668389
70-74,29762714,35372406
75-79,17342999,21708587
80-84,8940378,12439706
85-89,4076891,6886092
90-94,1154593,2732696
95-99,128472,514332
100+,3699,44866
