Age,M,F
0-4,64319290,58999163
5-9,54332283,50816419
10-14,51345002,48453263
15-19,65929296,62640748
20-24,64483082,61627583
25-29,48779949,46850984
30-34,46029141,44486264
35-39,42444714,41465145
40-44,30404608,28462197
45-49,24638535,22528230
50-54,23211588,21292267
55-59,20098956,19195504
60-64,15819214,16001455
65-69,11592001,12868878
70-74,7567735,9528265
75-79,4226662,6190201
80-84,1756233,3413593
85-89,489525,1329041
90-94,66262,279942
95-99,2679,24467
100+,5,631
