Age,M,F
0-4,44440152,37846618
5-9,43635674,37354275
10-14,47221518,41150238
15-19,60247906,54141155
20-24,59903736,55408073
25-29,51795549,48834484
30-34,51942221,49505654
35-39,64939325,62507828
40-44,61238747,59478421
45-49,41030379,40243895
50-54,43858131,43808328
55-59,36193081,36898192
60-64,24445936,24306040
65-69,18746139,19027315
70-74,15131679,16487984
75-79,9888782,12056101
80-84,5267937,7547647
85-89,1936027,3632523
90-94,389168,1137788
95-99,26608,160105
100+,100,9547
