Age,M,F
0-4,46149270,39347759
5-9,43195188,36850403
10-14,45138891,39006635
15-19,53161676,47171751
20-24,64553568,59080323
25-29,53911007,50577725
30-34,48547932,46119274
35-39,60881835,58448223
40-44,62534813,60673913
45-49,51405636,50353702
50-54,40289876,40126949
55-59,39972446,40981213
60-64,27805630,28210755
65-69,19456313,19985675
70-74,15377887,16555385
75-79,10696657,12981128
80-84,5716991,8046031
85-89,2231934,4034062
90-94,460582,1280714
95-99,35200,194781
100+,232,11540
