Age,M,F
0-4,39188889,34666340
5-9,48606963,42050813
10-14,46536839,39744273
15-19,42864738,36571502
20-24,44072290,38004076
25-29,49431764,43669177
30-34,64064218,58506716
35-39,54748214,51411471
40-44,47772308,45600896
45-49,56339382,54637583
50-54,61025044,60334028
55-59,53632556,54131871
60-64,34437504,36016194
65-69,35371565,39180622
70-74,23408274,26942264
75-79,13644798,16538540
80-84,8201256,11142186
85-89,3757880,6367442
90-94,977892,2261134
95-99,108911,432630
100+,2116,34098
