Age,M,F
0-4,48737501,42015281
5-9,45983320,39206663
10-14,43051579,36751531
15-19,44942462,38869940
20-24,52840724,46929967
25-29,64119304,58773706
30-34,53518079,50314933
35-39,48154394,45869934
40-44,60210698,58072452
45-49,61520311,60152846
50-54,50187051,49737267
55-59,38815349,39409133
60-64,37722042,39868455
65-69,25218358,26783886
70-74,16656062,18258040
75-79,11912967,14109339
80-84,7070325,9788933
85-89,2862648,4879224
90-94,707405,1739367
95-99,60377,291482
100+,729,20100
