Age,M,F
0-4,57900255,53849538
5-9,50630718,47584885
10-14,60453760,57202041
15-19,66944994,63739820
20-24,60758989,58113312
25-29,41331832,39732402
30-34,46281855,44978588
35-39,35336603,33635976
40-44,26280152,24184225
45-49,24313034,21821468
50-54,22445205,20953966
55-59,18330514,17695451
60-64,14490632,14982303
65-69,10355738,11806690
70-74,6885520,8748995
75-79,3605492,5598797
80-84,1506881,3047043
85-89,383206,1040112
90-94,50705,213756
95-99,2145,15601
100+,5,393
