Age,M,F
0-4,47431110,41408816
5-9,48196288,41306902
10-14,44133251,37606327
15-19,43313224,37133986
20-24,46742852,40803299
25-29,59497182,53603335
30-34,59079772,54841786
35-39,51017803,48328139
40-44,50969651,48927535
45-49,63203252,61595006
50-54,58772849,58238031
55-59,38636792,39061791
60-64,39875007,41868923
65-69,31024853,34209039
70-74,19071138,21159353
75-79,12486185,14924786
80-84,7756703,10651707
85-89,3274419,5556096
90-94,838887,1986509
95-99,83236,364720
100+,1264,27142
