Age,M,F
0-4,22879308,20811488
5-9,34616736,30776008
10-14,48313180,41997460
15-19,47180266,40363598
20-24,42759876,36393684
25-29,43182613,37134054
30-34,47559359,41841363
35-39,61595027,56049765
40-44,56130926,52653834
45-49,48471867,46457903
50-54,52198121,51088978
55-59,59899245,60185406
60-64,53638482,55696869
65-69,30964796,33830608
70-74,31431992,37056232
75-79,20196959,25899603
80-84,9896319,13746183
85-89,4370335,7329511
90-94,1290095,3004083
95-99,148980,581447
100+,4934,51906
