Age,M,F
0-4,66573003,60731222
5-9,55513448,51790517
10-14,50242330,47356643
15-19,63266924,60062866
20-24,65455025,62530588
25-29,54342818,52170499
30-34,43462272,41965693
35-39,44362926,43371231
40-44,32492404,30749948
45-49,25045097,23072249
50-54,23240770,21203106
55-59,20652848,19719677
60-64,16236120,16311680
65-69,12073488,13284655
70-74,7830904,9779679
75-79,4473609,6461913
80-84,1862088,3540167
85-89,524416,1418811
90-94,72523,306525
95-99,3071,28213
100+,4,743
