Age,M,F
0-4,58284130,51946107
5-9,63512870,58249207
10-14,53976810,50554396
15-19,50994400,48218970
20-24,65347301,62232995
25-29,63763712,61133490
30-34,48173109,46435599
35-39,45411020,44069877
40-44,41732474,41009742
45-49,29691550,28026095
50-54,23775801,22031448
55-59,21992742,20600869
60-64,18465128,18219390
65-69,13734302,14601941
70-74,9316397,11116979
75-79,5321051,7492273
80-84,2404259,4137509
85-89,686868,1726780
90-94,108732,453967
95-99,4995,46175
100+,10,1617
