Age,M,F
0-4,55069572,51515285
5-9,51752649,48750742
10-14,66448399,62959599
15-19,65089456,62028790
20-24,49349266,47237367
25-29,46625483,44876126
30-34,43044864,41863235
35-39,30975121,28839192
40-44,25312098,22939317
45-49,24181673,21869695
50-54,21356230,19948408
55-59,17391382,16987094
60-64,13597451,14271020
65-69,9738096,11271060
70-74,6285334,8116542
75-79,3300864,5320588
80-84,1345303,2739521
85-89,328883,893036
90-94,42441,173705
95-99,1954,12477
100+,5,304
