Age,M,F
0-4,56255408,52491191
5-9,50624167,47635568
10-14,63745234,60357684
15-19,66058037,62928499
20-24,54967295,52593113
25-29,44026184,42337736
30-34,44983190,43781590
35-39,33090603,31142171
40-44,25711104,23478946
45-49,24188947,21758146
50-54,21916540,20470063
55-59,17812761,17288991
60-64,14104724,14693007
65-69,10005767,11513539
70-74,6593336,8416823
75-79,3458163,5479556
80-84,1428839,2904337
85-89,352723,957547
90-94,46364,193550
95-99,2058,13962
100+,5,342
